Index,Contact Information,,City,State,ZIP,Phone,Facility Name,License
179,932 HEATHER PARK DRIVE,,GARNER,NC,27529,(919) 779-2126,KINDERCARE LEARNING CENTER,Five Star Center License
180,3103 KELLEY AUSTIN DR,,RALEIGH,NC,27610,(919) 231-1936,KINDERCARE LEARNING CENTER,Five Star Center License
181,2220 WENDELL FALLS PARKWAY,,WENDELL,NC,27591,(919) 365-0159,KINDERCARE LEARNING CENTER WENDELL FALLS,Four Star Center License
182,1118 E MAYNARD ROAD,,CARY,NC,27511,(919) 469-0866,KINDERCARE LEARNING CENTERS LLC,Five Star Center License
183,9325 LEESVILLE ROAD,,RALEIGH,NC, 27613-7515,(919) 848-8960,KINDERCARE LEARNING CENTERS LLC,Four Star Center License
184,223 W MILLBROOK ROAD,,RALEIGH,NC, 27609-4303,(919) 781-4642,KINDERCARE LEARNING CENTERS LLC,Three Star Center License
185,203 KILMAYNE DRIVE,,CARY,NC,27511,(919) 469-8790,KINDERCARE LEARNING CENTERS LLC,Five Star Center License
186,250 CORNERSTONE DRIVE,,CARY,NC,27519,(919) 466-8684,KINDERCARE LEARNING CENTERS LLC,Five Star Center License
187,2300 BRIDGEPORT DRIVE,,RALEIGH,NC, 27615-4301,(919) 676-8937,KINDERCARE LEARNING CENTERS LLC,Five Star Center License
188,200 FOREST DR,,KNIGHTDALE,NC, 27545-9604,(919) 266-4166,KINDERCARE LEARNING CENTERS LLC,Five Star Center License
189,1101 VANDORA SPRINGS RD,,GARNER,NC,27529,(919) 720-4010,KING'S KIDS EARLY EDUCATION AND LEARNING CENTER IN,Five Star Center License
190,7900 TEN-TEN ROAD,,RALEIGH,NC,27603,(919) 779-9456,KING'S TOWN CHILD DEVELOPMENT CENTER,GS 110-106
191,109 RIDGE ST,,KNIGHTDALE,NC,27545,(919) 266-8540,KNIGHTDALE ELEMENTARY,One Star Center License
192,1020 TODD ROAD,,KNIGHTDALE,NC,27545,(919) 266-1240,KNIGHTDALE HEAD START,Five Star Center License
193,710 LIGHTRAIL DRIVE,,KNIGHTDALE,NC,27545,(919) 752-6883,KNIGHTDALE STATION PRESCHOOL,Three Star Center License
194,10741 FOREST PINES DRIVE,,RALEIGH,NC, 27614-8017,(919) 570-3401,KNOWLEDGE BEGINNINGS,Five Star Center License
195,2733 COMMUNITY DRIVE,,RALEIGH,NC,27610,(919) 255-3418,KREEPERS-N-KRAWLERS,Five Star Center License
196,1413 AVERSBORO ROAD,,GARNER,NC,27529,(919) 779-5901,LA PETITE ACADEMY,Five Star Center License
197,7601 SIX FORKS ROAD,,RALEIGH,NC, 27615-5022,(919) 846-7602,LA PETITE ACADEMY,Five Star Center License
198,1420 HEDINGHAM BOULEVARD,,RALEIGH,NC, 27604-8302,(919) 231-8185,LA PETITE ACADEMY,Five Star Center License
199,955 WEST CHATHAM STREET,,CARY,NC, 27511-3168,(919) 467-5875,LA PETITE ACADEMY,Five Star Center License
200,9313 LEESVILLE ROAD,,RALEIGH,NC, 27613-7514,(919) 846-3557,LA PETITE ACADEMY,Five Star Center License
201,10250 CHAPEL HILL ROAD,,MORRISVILLE,NC,27560,(919) 655-0655,LA PETITE ACADEMY,Five Star Center License
202,104 BAINES COURT,,CARY,NC,27511,(919) 469-5735,LA PETITE ACADEMY,Five Star Center License
203,1300 ELK FALLS RD,,WENDELL,NC,27591,(919) 365-8990,LAKE MYRA ELEMENTARY,Five Star Center License
204,6601 PLEASANT PINES DRIVE,,RALEIGH,NC,27613,(919) 571-7469,LAPETITE ACADEMY,Five Star Center License
205,1411 AVERSBORO ROAD SUITE 303,,GARNER,NC,27529,(919) 773-3076,LAPETITE ACADEMY BEFORE & AFTER SCHOOL CARE,Five Star Center License
206,4008 MITCHELL MILL RD STE 100,,RALEIGH,NC,27616,(919) 373-8282,LEARNING AS WE GO CHILD CARE CENTER,Three Star Center License
207,568 E LENOIR STREET SUITE 204,,RALEIGH,NC,27601,(919) 856-5200,"LEARNING TOGETHER, INC.",Five Star Center License
208,1030 N ROGERS LANE SUITE 141,,RALEIGH,NC,27610,(919) 264-9838,LEARNING WORLD CHILDCARE & PRESCHOOL,Three Star Center License
209,907 NORTH STATE STREET,,RALEIGH,NC, 27604-2367,(919) 831-9244,LECOUNT'S NURSERY AND DAY CARE,Four Star Center License
210,307 BRIDGE ST,,FUQUAY-VARINA,NC,27526,(919) 557-2587,LINCOLN HEIGHTS ELEMENTARY,Four Star Center License
211,724 SOUTH MAIN STREET,,FUQUAY-VARINA,NC,27526,(919) 552-5575,LITTLE ANGELS PREPARATORY SCHOOL,Four Star Center License
212,309 HOLMAN STREET,,GARNER,NC,27529,(919) 720-4773,LITTLE BELIEVER'S ACADAMY II INC.,Five Star Center License
213,3329 FORESTVILLE RD,,RALEIGH,NC,27616,(919) 266-6124,LITTLE DESTINY LITERACY,Five Star Center License
214,2906 BRENTWOOD RD,,RALEIGH,NC,27604,(919) 981-0034,LITTLE HANDS N FEET CHILD CARE CENTER,Five Star Center License
215,3217 FORESTVILLE ROAD,,RALEIGH,NC,27616,(919) 373-8440,LITTLE LEAF DISCOVERY SCHOOL,Three Star Center License
216,2800 SOURWOOD STREET,,RALEIGH,NC,27610,(919) 828-2184,LITTLE LEARNERS' MAGIC MOMENTS PRESCHOOL,Four Star Center License
217,2801 S WILIMINGTON ST,,RALEIGH,NC,27603,(919) 703-8047,LITTLE MAKERS ACADEMY,Three Star Center License
218,4210 SAINT JAMES CHURCH RD,,RALEIGH,NC,27604,(919) 876-1761,LITTLE PEOPLE PRESCHOOL L.L.C.,Four Star Center License
219,4206 SAINT JAMES CHURCH RD,,RALEIGH,NC,27604,(919) 218-7499,LITTLE PEOPLE PRESCHOOL LLC INFANTS & TODDLERS,Three Star Center License
220,2117 PINEY PLAINS ROAD,,CARY,NC,27511,(919) 859-0041,LITTLE TREASURES LEARNING CENTER,Four Star Center License
221,314 BAINBRIDGE CIRCLE,,GARNER,NC,27529,(919) 594-1170,LOTS OF LOVE AND LEARNING FAMILY CHILD CARE,Five Star Center License
222,9003 WESTON PARKWAY,,CARY,NC, 27513-2201,(919) 677-1400,LUCY DANIELS CENTER FOR EARLY CHILDHOOD,Five Star Center License
223,1024 LYNN ROAD,,RALEIGH,NC,27612,(919) 239-4687,LYNN ROAD CHILDCARE ACADEMY,Three Star Center License
224,1601 LYNN ROAD,,RALEIGH,NC,27612,(919) 870-4074,LYNN ROAD ELEMENTARY PRE-K PROGRAM,Five Star Center License
225,12401 STRICKLAND ROAD,,RALEIGH,NC,27613,(919) 745-1359,MARACAS MONTESSORI,One Star Center License
226,2721 RENFROW ROAD,,RALEIGH,NC,27603,(919) 832-9888,"MARIAH'S CHRISTIAN PRESCHOOL CENTER, INC.",Four Star Center License
227,1108 HADLEY ROAD,,RALEIGH,NC,27610,(919) 771-5255,MATTHEW CHAPEL DAY CARE #2,Three Star Center License
228,900 TRAILWOOD DRIVE,,RALEIGH,NC,27606,(919) 852-4568,METHOD CHILD DEVELOPMENT CENTER,Five Star Center License
229,1520 E MILLBROOK RD,,RALEIGH,NC,27609,(919) 850-8700,MILLBROOK ELEMENTARY,Four Star Center License
230,402 UPCHURCH STREET,,APEX,NC,27502,(919) 372-8181,MONTESSORI CREATIVE LEARNING SCHOOL,Three Star Center License
231,524 SUNNYBROOK ROAD,,RALEIGH,NC,27610,(919) 250-1828,MORNING STAR CHILD CARE LEARNING CENTER,GS 110-106
232,201 MORRISVILLE SQUARE WAY,,MORRISVILLE,NC,27560,(919) 460-6449,MORRISVILLE SQUARE CREATIVE SCHOOL,Three Star Center License
233,2625 TRAWICK ROAD,,RALEIGH,NC,27604,(919) 431-8337,MS. VAN'S CHILDCARE CENTER,Five Star Center License
234,6620 SIX FORKS ROAD,,RALEIGH,NC, 27615-6518,(919) 848-4834,NORTH HAVEN CHILD DEVELOPMENT CENTER,GS 110-106
235,110 TALS ROCK WAY,,CARY,NC,27519,(919) 377-1802,OAK VILLAGE ACADEMY,Five Star Center License
236,204 DIXIE TRAIL,,RALEIGH,NC,27607,(919) 856-7699,OLDS ELEMENTARY BEFORE AND AFTER SCHOOL PROGRAM,Four Star Center License
237,10275 CHAPEL HILL RD,,MORRISVILLE,NC,27560,(919) 632-9112,ORIGINS MONTESSORI SCHOOL,One Star Center License
238,417 WALTON ST,,RALEIGH,NC,27610,(919) 802-9963,PAM'S LOVING HANDS CHILD DEVELOPMENT CENTER,Three Star Center License
239,2705 NEW BERN AVE,,RALEIGH,NC,27610,(919) 832-0766,PAM'S SCHOOL OF RALEIGH,Five Star Center License
240,128 MORRISVILLE SQUARE WAY,,MORRISVILLE,NC,27560,(919) 271-3182,PARAMOUNT MONTESSORI,One Star Center License
241,102 YMCA DRIVE,,CARY,NC, 27513-4870,(919) 657-0577,PARKWAY HEAD START,Five Star Center License
242,2190 NORTH SALEM STREET SUITE 103,,APEX,NC,27523,(919) 363-2461,PEACE MONTESSORI SCHOOL,One Star Center License
243,1110 NEWTON ROAD,,RALEIGH,NC,27615,(919) 847-2650,PRECIOUS LAMBS EARLY LEARNING CENTER,Five Star Center License
244,4301 PEARL ROAD,,RALEIGH,NC,27610,(919) 884-5991,PRECIOUS PROMISES ACADEMY,Five Star Center License
245,551 JAMES JACKSON AVE,,CARY,NC,27513,(919) 297-0007,PRESTON CHILDREN'S ACADEMY,Five Star Center License
246,316 S KING CHARLES RD,,RALEIGH,NC,27610,(919) 231-3564,"PRICELESS CHILD CARE, INC.",Five Star Center License
247,2100 NORTH HILLS DR,,RALEIGH,NC,27612,(919) 785-0303,PRIMARY BEGINNINGS CHILD DEVELOPMENT CENTER,Five Star Center License
248,4001 SPRING FOREST RD,,RALEIGH,NC,27616,(919) 790-6888,"PRIMARY BEGINNINGS CHILD DEVELOPMENT CENTER, LLC",Five Star Center License
249,11151 SALEM GLEN LANE,,RALEIGH,NC,27617,(919) 880-2416,PRIMROSE SCHOOL AT BRIER CREEK,Four Star Center License
250,1530 AVENT FERRY ROAD,,HOLLY SPRINGS,NC,27540,(919) 567-1114,PRIMROSE SCHOOL AT HOLLY GROVE,Four Star Center License
251,131 LATTNER COURT,,MORRISVILLE,NC,27560,(919) 468-8880,PRIMROSE SCHOOL AT THE PARK,Five Star Center License
252,4501 WEST LAKE RD,,APEX,NC,27539,(919) 662-1322,PRIMROSE SCHOOL AT WEST LAKE,Five Star Center License
253,1710 LAURA DUNCAN RD,,APEX,NC,27502,(919) 339-3874,PRIMROSE SCHOOL OF APEX,Five Star Center License
254,1500 EVANS ROAD,,CARY,NC,27513,(919) 481-3901,PRIMROSE SCHOOL OF CARY,Five Star Center License
255,844 HERITAGE LAKE ROAD,,WAKE FOREST,NC,27587,(919) 453-2554,PRIMROSE SCHOOL OF HERITAGE WAKE FOREST,Five Star Center License
256,6941 HILBURN DR,,RALEIGH,NC,27613,(919) 783-8222,PRIMROSE SCHOOL OF HILBURN,Four Star Center License
257,8521 FALLS OF NEUSE ROAD,,RALEIGH,NC,27615,(919) 329-2929,PRIMROSE SCHOOL OF NORTH RALEIGH,One Star Center License
258,2511 NC HIGHWAY 55,,CARY,NC,27519,(919) 363-2700,PRIMROSE SCHOOL OF WEST CARY,Four Star Center License
259,501 S BOYLAN AVENUE,,RALEIGH,NC,27603,(919) 856-7774,PROJECT ENLIGHTENMENT,Five Star Center License
260,1035 HALIFAX STREET,,RALEIGH,NC,27604,(919) 834-2136,"RALEIGH NURSERY SCHOOL, INC.",Five Star Center License
261,300 ARBOR GREENE DRIVE,,GARNER,NC,27529,(919) 662-2275,RAND ROAD ELEMENTARY BEFORE AND AFTER SCHOOL PRGRM,One Star Center License
262,201 POWHATAN DRIVE,,FUQUAY-VARINA,NC,27526,(919) 552-3332,"READY OR NOT, HERE I GROW DAY SCHOOL",Five Star Center License
263,3322 DUTCHMAN RD,,RALEIGH,NC,27610,(919) 390-3545,REGINA'S PRESCHOOL & KIDZ ACADEMY INC. #2,Four Star Center License
264,610 NOTTINGHAM DRIVE,,CARY,NC,27511,(919) 439-0130,RENAISSANCE MONTESSORI SCHOOL OF CARY,One Star Center License
265,3116 BLUE RIDGE ROAD,,RALEIGH,NC,27612,(919) 784-3983,REX HEALTHCARE CHILD DEVELOPMENT CENTER,Five Star Center License
266,4905 BURLINGTON MILLS RD,,ROLESVILLE,NC, 27571-9998,(919) 556-5249,"RHYMES & REASONS, INC.",Three Star Center License
267,1900 EDWIN DRIVE,,RALEIGH,NC,27610,(919) 833-6840,RISING STARS JRVERSITY CHILD DEVELOPMENT CENTER,Five Star Center License
268,210 N ROGERS LANE,,RALEIGH,NC,27610,(919) 694-8670,ROGERS LANE ELEMENTARY,One Star Center License
269,6600 ROGERS RD,,ROLESVILLE,NC,27571,(919) 554-3870,ROLESVILLE CREEK LEARNING CENTER,Three Star Center License
270,3202 NORTHAMPTON ST,,RALEIGH,NC,27609,(919) 881-4940,ROOT ELEMENTARY,Four Star Center License
271,615 ROYAL STREET,,RALEIGH,NC,27607,(919) 322-0016,SAFE HAVEN PRESCHOOL AND CHILDCARE CENTER,Five Star Center License
272,3757 TRYON RIDGE DRIVE,,RALEIGH,NC,27610,(919) 696-2256,SANDI'S TINY BLESSINGS,Four Star Center License
273,701 GRANITE FALLS BLVD,,ROLESVILLE,NC,27571,(919) 570-2100,SANFORD CREEK ELEMENTARY,Four Star Center License
274,200 MATRIX DRIVE BLDG I,,CARY,NC,27513,(919) 531-7819,SAS INSTITUTE MONTESSORI PRESCHOOL,One Star Center License
275,400 MATRIX DRIVE,,CARY,NC,27513,(919) 531-5955,SAS INSTITUTE MONTESSORI SCHOOL,One Star Center License
276,317 E LENOIR STREET,,RALEIGH,NC,27601,(919) 546-8365,SHAW UNIV. CENTER FOR EARLY CHILDHOOD EDUCATION,Five Star Center License
277,400 EARP ST,,HOLLY SPRINGS,NC,27540,(919) 552-9624,SISTERS' CHILD CARE SERVICES,Three Star Center License
278,400 GATHERING PARK CIRCLE,,CARY,NC,27519,(919) 621-0182,"SOUNDS AND COLORS AT CARPENTER VILLAGE, LLC",Five Star Center License
279,201 HIGH HOUSE ROAD,,CARY,NC,27513,(919) 265-7513,SOUNDS AND COLORS AT CARY,Five Star Center License
280,2275 GRASSLAND DRIVE,,FUQUAY-VARINA,NC,27526,(919) 577-1144,SOUTH WAKE PRESCHOOL & ACADEMY,Three Star Center License
281,812 NEW BERN AVE,,RALEIGH,NC,27610,(919) 591-1355,SOUTHEAST RALEIGH DAY CARE,Three Star Center License
282,1436 ROCK QUARRY RD,,RALEIGH,NC,27610,(919) 694-8448,SOUTHEAST RALEIGH ELEMENTARY,One Star Center License
283,1436 ROCK QUARRY RD,,RALEIGH,NC,27610,(919) 694-8444,SOUTHEAST RALEIGH ELEMENTARY HEAD START,One Star Center License
284,100 ENDEAVOR WAY,,CARY,NC,27513,(919) 677-7114,SPANISH FOR FUN !,Five Star Center License
285,8000 GLENWOOD AVENUE,,RALEIGH,NC,27612,(919) 881-1160,SPANISH FOR FUN!,Five Star Center License
286,5600 DURALEIGH RD,,RALEIGH,NC,27612,(919) 881-1695,SPANISH FOR FUN! INFANT AND TODDLER CENTER,Five Star Center License
287,222 CAPCOM AVENUE,,WAKE FOREST,NC,27587,(919) 883-2061,SPANISH FOR FUN! WAKE FOREST,Five Star Center License
288,3407 N NEW HOPE ROAD,,RALEIGH,NC,27604,(919) 878-4477,ST MARY'S PRESCHOOL,GS 110-106
289,4690 WENDELL BLVD,,WENDELL,NC,27591,(919) 365-0028,STEPS & STAGES CHILDREN'S CENTER,Three Star Center License
290,202 TREYBROOKE DR,,MORRISVILLE,NC,27560,(919) 462-8889,STERLING MONTESSORI ACADEMY,One Star Center License
291,2625 GARNER ROAD,,RALEIGH,NC,27610,(919) 829-0722,SUNNY CHRISTIAN CHILD CARE,Five Star Center License
292,741 CHAPPELL DRIVE,,RALEIGH,NC,27606,(919) 832-3909,TAMMY LYNN CENTER,Five Star Center License
293,1509 FOXWOOD DRIVE,,GARNER,NC,27529,(919) 662-1026,TAYLOR'S DAY CARE HOME,Five Star Center License
294,1417 CLIFTON STREET,,RALEIGH,NC, 27604-2091,(919) 833-6079,TEMPLE BAPTIST SCHOOL & DAY CARE,GS 110-106
295,5315 CREEDMOOR ROAD,,RALEIGH,NC, 27612-6304,(919) 781-4895,TEMPLE BETH OR PRESCHOOL,Five Star Center License
296,300 SE CARY PARKWAY,,CARY,NC, 27511-7601,(919) 466-7530,THE CARY SCHOOL FOR DEVELOPMENT & EARLY EDUCATION,Five Star Center License
297,7100 HOLLY SPRINGS ROAD,,RALEIGH,NC,27606,(919) 851-3553,THE CHILDREN'S PLACE,GS 110-106
298,10308 HOLLY SPRINGS ROAD,,HOLLY SPRINGS,NC,27540,(919) 285-3992,THE CLUBHOUSE,Five Star Center License
299,735 ROCK QUARRY ROAD,,RALEIGH,NC,27610,(919) 828-6443,THE DANIEL CENTER FOR MATH AND SCIENCE,Five Star Center License
300,6600 CREEDMOOR RD,,RALEIGH,NC,27613,(919) 787-5002,THE GODDARD SCHOOL,Five Star Center License
301,1177 NW MAYNARD RD,,CARY,NC,27513,(919) 466-0008,THE GODDARD SCHOOL,Five Star Center License
302,4027 DAVIS DR,,MORRISVILLE,NC,27560,(919) 467-0467,THE GODDARD SCHOOL,Five Star Center License
303,1308 HERITAGE LINKS DRIVE,,WAKE FOREST,NC,27587,(919) 570-1005,"THE GODDARD SCHOOL - WAKE FOREST, INC.",Five Star Center License
304,655 OLD HONEYCUTT ROAD,,FUQUAY-VARINA,NC,27526,(919) 552-8359,THE GODDARD SCHOOL / FUQUAY-VARINA,Five Star Center License
305,3701 GREEN LEVEL RD WEST,,APEX,NC,27523,(919) 258-2000,THE GODDARD SCHOOL APEX GREEN LEVEL WEST,Temporary License
306,10550 LITTLE BRIER CREEK LN,,RALEIGH,NC,27617,(919) 572-0678,THE GODDARD SCHOOL IN BRIER CREEK,Five Star Center License
307,801 EARP STREET,,HOLLY SPRINGS,NC,27540,(919) 552-3196,THE GODDARD SCHOOL IN HOLLY SPRINGS,Four Star Center License
308,903 OLIVE CHAPEL ROAD,,APEX,NC,27502,(919) 362-3999,THE GODDARD SCHOOL OF APEX,Five Star Center License
309,2385 KILDAIRE FARM RD,,CARY,NC,27518,(919) 307-5200,THE GODDARD SCHOOL OF CARY LOCHMERE,One Star Center License
310,1215 RIDGE RD,,RALEIGH,NC,27607,(919) 578-8883,THE GODDARD SCHOOL-RALEIGH RIDGE RD,Four Star Center License
311,2590 LAURA DUNCAN ROAD,,CARY,NC,27513,(919) 467-6494,THE GROVE SCHOOL OF CARY,Five Star Center License
312,7600 FALLS OF NEUSE ROAD,,RALEIGH,NC,27615,(919) 847-0160,THE GROWING PLACE,GS 110-106
313,470 W WILLIAMS ST,,APEX,NC,27502,(919) 387-8189,THE GROWING YEARS LEARNING CENTER - APEX,Five Star Center License
314,102 DAVIS GROVE CIRCLE,,CARY,NC,27519,(919) 589-0400,THE GROWING YEARS LEARNING CENTER - CARY,Five Star Center License
315,5010 FORT SUMTER ROAD,,RALEIGH,NC,27606,(919) 233-8081,THE HAPPY FACE PRESCHOOL,Five Star Center License
316,801 HOLLY SPRINGS RD,,HOLLY SPRINGS,NC,27540,(919) 557-3085,THE LEARNING EXPERIENCE,Four Star Center License
317,8213 QUOIN WAY,,RALEIGH,NC,27613,(919) 803-5333,THE LEARNING EXPERIENCE,Five Star Center License
318,560 EVENING STAR DRIVE,,APEX,NC,27502,(919) 303-7475,THE LEARNING EXPERIENCE,Five Star Center License
319,2185 DAVIS DRIVE,,CARY,NC,27519,(919) 463-1104,THE LEARNING EXPERIENCE @ CARY,Five Star Center License
320,2020 MARQUEE LANE,,FUQUAY-VARINA,NC,27526,(919) 762-0902,THE LEARNING EXPERIENCE FUQUAY VARINA,Four Star Center License
321,8101 TARGET SIDE DRIVE,,RALEIGH,NC,27616,(919) 876-3428,THE LEARNING EXPERIENCE RALEIGH NE,Temporary License
322,1200 CORPORATE CHAPLAIN DRIVE,,WAKE FOREST,NC,27587,(919) 562-1070,THE LEARNING EXPERIENCE WAKE FOREST,Five Star Center License
323,1720 TRAWICK RD,,RALEIGH,NC,27604,(919) 798-4051,THE LEARNING RAINBOW CHILD DEVELOPMENT CENTER,Three Star Center License
324,334 SOUTH MAIN STREET,,FUQUAY-VARINA,NC,27526,(919) 552-0989,THE LOVING LOFT CHILD DEVELOPMENT CENTER LLC,Three Star Center License
325,5617 SUNSET LAKE RD,,HOLLY SPRINGS,NC,27540,(919) 303-3636,THE NEW SCHOOL #2,Three Star Center License
326,8400 FALLS OF NEUSE ROAD,,RALEIGH,NC,27615,(919) 847-2101,TINY TREASURE KIDS INC.,Three Star Center License
327,2489 WENDELL BLVD,,WENDELL,NC,27591,(919) 366-1926,TOTALLY KIDS CHILDCARE CENTER,Four Star Center License
328,7209 STEPHEN BOYD COURT,,RALEIGH,NC,27616,(919) 868-7123,TOUCHED BY AN ANGEL,Five Star Center License
329,1005 A-BIG OAK COURT,,KNIGHTDALE,NC,27545,(919) 868-7123,TOUCHED BY AN ANGEL OPEN ARMS CHILD CARE CENTER,Four Star Center License
330,3301-104 ROCK QUARRY RD,,RALEIGH,NC,27610,(919) 868-7123,TOUCHED BY LORRAINE'S LOVING HANDS,Three Star Center License
331,200 DANCERS POINTE LN,,CARY,NC,27518,(919) 363-0850,TRIANGLE ACADEMY PRESCHOOL,Five Star Center License
332,2209 CANDUN DRIVE,,APEX,NC,27523,(919) 367-7758,TRIANGLE CHILDREN'S ACADEMY,Four Star Center License
333,11100 FELLOWSHIP DRIVE,,RALEIGH,NC,27617,(919) 846-0470,TRIANGLE LEARNING CENTER,GS 110-106
334,540 E CHATHAM ST,,CARY,NC,27511,(919) 463-7770,TRIANGLE MONTESSORI ACADEMY,One Star Center License
335,4815 SIX FORKS ROAD,,RALEIGH,NC,27609,(919) 782-6192,TRINITY BAPTIST WEEKDAY PRESCHOOL,GS 110-106
336,523 N MAIN STREET,,FUQUAY-VARINA,NC,27526,(919) 557-9900,UNIQUE CREATIONS CHILD CARE CENTER,Four Star Center License
337,3330 IDLEWOOD VILLAGE DR,,RALEIGH,NC,27610,(919) 829-6250,UPPER ROOM CHRISTIAN ACADEMY,Five Star Center License
338,8808 OLD STAGE RD,,RALEIGH,NC,27603,(919) 662-2472,VANCE ELEMENTARY,Four Star Center License
339,608 ROYAL STREET,,RALEIGH,NC, 27607-5422,(919) 834-1025,VITAL LINK IS CROSS LINK,One Star Center License
340,2100 SOUTH MAIN STREET,,WAKE FOREST,NC,27587,(919) 556-3370,"WAKE FOREST CHILD CARE CENTER, INC.",Three Star Center License
341,136 W SYCAMORE AVE,,WAKE FOREST,NC,27587,(919) 554-8440,WAKE FOREST ELEMENTARY,Four Star Center License
342,1941 HERITAGE BRANCH ROAD,,WAKE FOREST,NC,27587,(919) 453-2543,WAKE FOREST KIDS 'R' KIDS,Five Star Center License
343,231 CAPCOM AVENUE SUITE 180,,WAKE FOREST,NC,27587,(919) 827-1148,WAKE FOREST MONTESSORI,One Star Center License
344,2700 WAKEFIELD PINES DRIVE,,RALEIGH,NC,27614,(919) 562-7900,WAKEFIELD CREATIVE SCHOOL,Five Star Center License
345,8921 PIPPIN ROAD,,ZEBULON,NC,27597,(919) 404-3844,WAKELON ELEMENTARY,One Star Center License
346,2600 SUNNYBROOK RD,,RALEIGH,NC,27610,(919) 857-9500,WALNUT CREEK ELEMENTARY,One Star Center License
347,3308 POOLE RD SUITE 108,,RALEIGH,NC,27610,(919) 231-9960,WANDA'S LITTLE HANDS EDUCATIONAL CENTER #1,Five Star Center License
348,3400 POOLE RD,,RALEIGH,NC,27610,(919) 231-6004,WANDA'S LITTLE HANDS EDUCATIONAL CENTER #2,Five Star Center License
349,313 S E MAYNARD ROAD,,CARY,NC,27511,(919) 469-2217,WHITE PLAINS CHILDREN'S CENTER,Five Star Center License
350,9565 FLATROCK PARK DRIVE,,KNIGHTDALE,NC,27545,(919) 266-0036,WIDEWATERS LEARNING CENTER,Five Star Center License
351,3707 MARSH CREEK RD,,RALEIGH,NC,27604,(919) 850-8738,WILBURN ELEMENTARY,Four Star Center License
352,3000 ROCK QUARRY ROAD,,RALEIGH,NC,27610,(919) 834-1141,WORD OF GOD EARLY LEARNING CENTER,GS 110-106
353,5109 OAK PARK DR,,RALEIGH,NC,27612,(610) 462-7706,WREN AND WILLOW MONTESSORI,Four Star Center License
354,5993 YATES MILL POND RD,,RALEIGH,NC,27606,(919) 233-4244,YATES MILL ELEMENTARY,Four Star Center License
