id,Geographic Area Name,Total,Total!!Male!!Under 5 years,Total!!Female!!Under 5 years,id,zip
8710000US3728009,"ZCTA5 28009, North Carolina",1119,34,26,8710000US37,28009
8710000US3728692,"ZCTA5 28692, North Carolina",4067,92,120,8710000US37,28692
8710000US3727809,"ZCTA5 27809, North Carolina",5091,129,144,8710000US37,27809
8710000US3728411,"ZCTA5 28411, North Carolina",31636,1050,1101,8710000US37,28411
8710000US3728627,"ZCTA5 28627, North Carolina",1152,39,22,8710000US37,28627
8710000US3727101,"ZCTA5 27101, North Carolina",17257,590,587,8710000US37,27101
8710000US3727516,"ZCTA5 27516, North Carolina",34769,937,895,8710000US37,27516
8710000US3727313,"ZCTA5 27313, North Carolina",6833,147,164,8710000US37,27313
8710000US3727596,"ZCTA5 27596, North Carolina",15614,588,560,8710000US37,27596
8710000US3727565,"ZCTA5 27565, North Carolina",24753,798,708,8710000US37,27565
8710000US3727045,"ZCTA5 27045, North Carolina",8536,298,251,8710000US37,27045
8710000US3728280,"ZCTA5 28280, North Carolina",10,0,0,8710000US37,28280
8710000US3728092,"ZCTA5 28092, North Carolina",37895,1167,1150,8710000US37,28092
8710000US3728644,"ZCTA5 28644, North Carolina",1488,25,32,8710000US37,28644
8710000US3727592,"ZCTA5 27592, North Carolina",15232,592,604,8710000US37,27592
8710000US3728582,"ZCTA5 28582, North Carolina",1588,40,41,8710000US37,28582
8710000US3728762,"ZCTA5 28762, North Carolina",6790,197,148,8710000US37,28762
8710000US3728663,"ZCTA5 28663, North Carolina",614,10,19,8710000US37,28663
8710000US3728546,"ZCTA5 28546, North Carolina",42258,2218,2081,8710000US37,28546
8710000US3728709,"ZCTA5 28709, North Carolina",2225,62,60,8710000US37,28709
8710000US3728720,"ZCTA5 28720, North Carolina",114,2,3,8710000US37,28720
8710000US3727917,"ZCTA5 27917, North Carolina",745,22,30,8710000US37,27917
8710000US3728332,"ZCTA5 28332, North Carolina",482,18,17,8710000US37,28332
8710000US3727976,"ZCTA5 27976, North Carolina",3449,126,102,8710000US37,27976
8710000US3728675,"ZCTA5 28675, North Carolina",6510,168,187,8710000US37,28675
8710000US3727344,"ZCTA5 27344, North Carolina",17789,724,711,8710000US37,27344
8710000US3727839,"ZCTA5 27839, North Carolina",2988,64,74,8710000US37,27839
8710000US3728533,"ZCTA5 28533, North Carolina",0,0,0,8710000US37,28533
8710000US3728056,"ZCTA5 28056, North Carolina",31348,937,827,8710000US37,28056
8710000US3728394,"ZCTA5 28394, North Carolina",5154,188,158,8710000US37,28394
8710000US3727924,"ZCTA5 27924, North Carolina",3140,85,75,8710000US37,27924
8710000US3728725,"ZCTA5 28725, North Carolina",43,0,0,8710000US37,28725
8710000US3727808,"ZCTA5 27808, North Carolina",2225,43,40,8710000US37,27808
8710000US3728722,"ZCTA5 28722, North Carolina",6277,166,149,8710000US37,28722
8710000US3728539,"ZCTA5 28539, North Carolina",15428,815,717,8710000US37,28539
8710000US3727350,"ZCTA5 27350, North Carolina",6513,187,193,8710000US37,27350
8710000US3728135,"ZCTA5 28135, North Carolina",3933,112,119,8710000US37,28135
8710000US3728511,"ZCTA5 28511, North Carolina",694,8,15,8710000US37,28511
8710000US3727051,"ZCTA5 27051, North Carolina",7369,233,219,8710000US37,27051
8710000US3727343,"ZCTA5 27343, North Carolina",1707,24,46,8710000US37,27343
8710000US3727505,"ZCTA5 27505, North Carolina",5892,247,218,8710000US37,27505
8710000US3728801,"ZCTA5 28801, North Carolina",13224,371,365,8710000US37,28801
8710000US3727291,"ZCTA5 27291, North Carolina",1656,45,28,8710000US37,27291
8710000US3728001,"ZCTA5 28001, North Carolina",26068,884,866,8710000US37,28001
8710000US3728315,"ZCTA5 28315, North Carolina",11531,432,406,8710000US37,28315
8710000US3727920,"ZCTA5 27920, North Carolina",1326,42,48,8710000US37,27920
8710000US3727846,"ZCTA5 27846, North Carolina",2982,85,76,8710000US37,27846
8710000US3728606,"ZCTA5 28606, North Carolina",2081,51,72,8710000US37,28606
8710000US3728510,"ZCTA5 28510, North Carolina",1502,32,33,8710000US37,28510
8710000US3728721,"ZCTA5 28721, North Carolina",10024,311,267,8710000US37,28721
8710000US3728560,"ZCTA5 28560, North Carolina",28155,1002,983,8710000US37,28560
8710000US3728512,"ZCTA5 28512, North Carolina",2872,32,35,8710000US37,28512
8710000US3727332,"ZCTA5 27332, North Carolina",30128,1268,1154,8710000US37,27332
8710000US3727882,"ZCTA5 27882, North Carolina",7383,225,203,8710000US37,27882
8710000US3728716,"ZCTA5 28716, North Carolina",17246,486,423,8710000US37,28716
8710000US3728583,"ZCTA5 28583, North Carolina",281,8,12,8710000US37,28583
8710000US3727553,"ZCTA5 27553, North Carolina",2015,52,51,8710000US37,27553
8710000US3728078,"ZCTA5 28078, North Carolina",51865,2293,2033,8710000US37,28078
8710000US3728748,"ZCTA5 28748, North Carolina",11285,304,336,8710000US37,28748
8710000US3728631,"ZCTA5 28631, North Carolina",629,11,13,8710000US37,28631
8710000US3727314,"ZCTA5 27314, North Carolina",1045,27,26,8710000US37,27314
8710000US3727705,"ZCTA5 27705, North Carolina",40804,1458,1296,8710000US37,27705
8710000US3727855,"ZCTA5 27855, North Carolina",5738,168,171,8710000US37,27855
8710000US3728310,"ZCTA5 28310, North Carolina",0,0,0,8710000US37,28310
8710000US3728609,"ZCTA5 28609, North Carolina",5864,137,119,8710000US37,28609
8710000US3727860,"ZCTA5 27860, North Carolina",2246,52,61,8710000US37,27860
8710000US3728384,"ZCTA5 28384, North Carolina",11997,489,468,8710000US37,28384
8710000US3728657,"ZCTA5 28657, North Carolina",9420,263,234,8710000US37,28657
8710000US3727252,"ZCTA5 27252, North Carolina",2003,55,38,8710000US37,27252
8710000US3728212,"ZCTA5 28212, North Carolina",38185,1828,1795,8710000US37,28212
8710000US3728449,"ZCTA5 28449, North Carolina",1692,20,18,8710000US37,28449
8710000US3728339,"ZCTA5 28339, North Carolina",6632,195,208,8710000US37,28339
8710000US3728625,"ZCTA5 28625, North Carolina",35898,1187,1085,8710000US37,28625
8710000US3727370,"ZCTA5 27370, North Carolina",14909,405,383,8710000US37,27370
8710000US3727520,"ZCTA5 27520, North Carolina",36232,1430,1335,8710000US37,27520
8710000US3727849,"ZCTA5 27849, North Carolina",1538,55,50,8710000US37,27849
8710000US3728340,"ZCTA5 28340, North Carolina",10765,343,341,8710000US37,28340
8710000US3728360,"ZCTA5 28360, North Carolina",13910,601,533,8710000US37,28360
8710000US3728356,"ZCTA5 28356, North Carolina",5014,168,160,8710000US37,28356
8710000US3728441,"ZCTA5 28441, North Carolina",3198,125,113,8710000US37,28441
8710000US3728666,"ZCTA5 28666, North Carolina",368,7,5,8710000US37,28666
8710000US3727549,"ZCTA5 27549, North Carolina",22965,706,749,8710000US37,27549
8710000US3727986,"ZCTA5 27986, North Carolina",1125,29,36,8710000US37,27986
8710000US3728017,"ZCTA5 28017, North Carolina",0,0,0,8710000US37,28017
8710000US3727832,"ZCTA5 27832, North Carolina",2778,91,75,8710000US37,27832
8710000US3727980,"ZCTA5 27980, North Carolina",2182,63,55,8710000US37,27980
8710000US3728467,"ZCTA5 28467, North Carolina",8703,124,111,8710000US37,28467
8710000US3727019,"ZCTA5 27019, North Carolina",4002,95,100,8710000US37,27019
8710000US3727818,"ZCTA5 27818, North Carolina",1342,36,44,8710000US37,27818
8710000US3727927,"ZCTA5 27927, North Carolina",542,4,4,8710000US37,27927
8710000US3727816,"ZCTA5 27816, North Carolina",2516,78,76,8710000US37,27816
8710000US3728205,"ZCTA5 28205, North Carolina",43691,1965,1864,8710000US37,28205
8710000US3728538,"ZCTA5 28538, North Carolina",2165,74,71,8710000US37,28538
8710000US3727357,"ZCTA5 27357, North Carolina",7823,253,206,8710000US37,27357
8710000US3728585,"ZCTA5 28585, North Carolina",3917,113,130,8710000US37,28585
8710000US3728167,"ZCTA5 28167, North Carolina",2314,55,47,8710000US37,28167
8710000US3728660,"ZCTA5 28660, North Carolina",2249,57,67,8710000US37,28660
8710000US3727053,"ZCTA5 27053, North Carolina",3004,84,53,8710000US37,27053
8710000US3727403,"ZCTA5 27403, North Carolina",18959,473,393,8710000US37,27403
8710000US3727014,"ZCTA5 27014, North Carolina",840,31,32,8710000US37,27014
8710000US3727233,"ZCTA5 27233, North Carolina",3386,82,79,8710000US37,27233
8710000US3728465,"ZCTA5 28465, North Carolina",6527,128,104,8710000US37,28465
8710000US3728617,"ZCTA5 28617, North Carolina",2242,58,75,8710000US37,28617
8710000US3728779,"ZCTA5 28779, North Carolina",15884,480,423,8710000US37,28779
8710000US3727283,"ZCTA5 27283, North Carolina",3136,59,62,8710000US37,27283
8710000US3727299,"ZCTA5 27299, North Carolina",5190,200,190,8710000US37,27299
8710000US3727582,"ZCTA5 27582, North Carolina",289,10,4,8710000US37,27582
8710000US3728037,"ZCTA5 28037, North Carolina",18284,551,552,8710000US37,28037
8710000US3728645,"ZCTA5 28645, North Carolina",46852,1355,1277,8710000US37,28645
8710000US3728150,"ZCTA5 28150, North Carolina",27665,865,819,8710000US37,28150
8710000US3728804,"ZCTA5 28804, North Carolina",18615,458,442,8710000US37,28804
8710000US3727305,"ZCTA5 27305, North Carolina",1668,41,51,8710000US37,27305
8710000US3727615,"ZCTA5 27615, North Carolina",41729,1271,1213,8710000US37,27615
8710000US3728333,"ZCTA5 28333, North Carolina",11819,514,484,8710000US37,28333
8710000US3727020,"ZCTA5 27020, North Carolina",6409,223,198,8710000US37,27020
8710000US3727052,"ZCTA5 27052, North Carolina",10530,272,265,8710000US37,27052
8710000US3728528,"ZCTA5 28528, North Carolina",644,9,19,8710000US37,28528
8710000US3728785,"ZCTA5 28785, North Carolina",7338,158,153,8710000US37,28785
8710000US3728524,"ZCTA5 28524, North Carolina",426,12,11,8710000US37,28524
8710000US3728348,"ZCTA5 28348, North Carolina",33267,1336,1305,8710000US37,28348
8710000US3728115,"ZCTA5 28115, North Carolina",33941,1167,1068,8710000US37,28115
8710000US3728314,"ZCTA5 28314, North Carolina",54425,2591,2481,8710000US37,28314
8710000US3727295,"ZCTA5 27295, North Carolina",37059,1073,1040,8710000US37,27295
8710000US3727959,"ZCTA5 27959, North Carolina",2710,71,88,8710000US37,27959
8710000US3728146,"ZCTA5 28146, North Carolina",27492,848,817,8710000US37,28146
8710000US3728345,"ZCTA5 28345, North Carolina",12465,443,439,8710000US37,28345
8710000US3728089,"ZCTA5 28089, North Carolina",117,2,6,8710000US37,28089
8710000US3728698,"ZCTA5 28698, North Carolina",2247,65,56,8710000US37,28698
8710000US3727534,"ZCTA5 27534, North Carolina",31000,1142,1098,8710000US37,27534
8710000US3728101,"ZCTA5 28101, North Carolina",698,20,27,8710000US37,28101
8710000US3728020,"ZCTA5 28020, North Carolina",2322,70,69,8710000US37,28020
8710000US3728429,"ZCTA5 28429, North Carolina",7464,240,218,8710000US37,28429
8710000US3727009,"ZCTA5 27009, North Carolina",2647,83,74,8710000US37,27009
8710000US3727205,"ZCTA5 27205, North Carolina",32745,1026,958,8710000US37,27205
8710000US3728383,"ZCTA5 28383, North Carolina",8061,290,255,8710000US37,28383
8710000US3727883,"ZCTA5 27883, North Carolina",3544,106,86,8710000US37,27883
8710000US3728704,"ZCTA5 28704, North Carolina",18563,618,575,8710000US37,28704
8710000US3727863,"ZCTA5 27863, North Carolina",11725,426,425,8710000US37,27863
8710000US3728374,"ZCTA5 28374, North Carolina",15727,312,325,8710000US37,28374
8710000US3728682,"ZCTA5 28682, North Carolina",1129,23,22,8710000US37,28682
8710000US3727608,"ZCTA5 27608, North Carolina",10290,356,359,8710000US37,27608
8710000US3728343,"ZCTA5 28343, North Carolina",1685,59,64,8710000US37,28343
8710000US3728447,"ZCTA5 28447, North Carolina",1379,39,45,8710000US37,28447
8710000US3727360,"ZCTA5 27360, North Carolina",45694,1563,1514,8710000US37,27360
8710000US3727555,"ZCTA5 27555, North Carolina",441,6,21,8710000US37,27555
8710000US3728457,"ZCTA5 28457, North Carolina",9867,327,359,8710000US37,28457
8710000US3728519,"ZCTA5 28519, North Carolina",404,8,9,8710000US37,28519
8710000US3728575,"ZCTA5 28575, North Carolina",314,4,3,8710000US37,28575
8710000US3728521,"ZCTA5 28521, North Carolina",2278,72,63,8710000US37,28521
8710000US3728613,"ZCTA5 28613, North Carolina",22556,821,812,8710000US37,28613
8710000US3728650,"ZCTA5 28650, North Carolina",11880,322,356,8710000US37,28650
8710000US3727109,"ZCTA5 27109, North Carolina",0,0,0,8710000US37,27109
8710000US3727844,"ZCTA5 27844, North Carolina",2950,110,103,8710000US37,27844
8710000US3727942,"ZCTA5 27942, North Carolina",901,27,28,8710000US37,27942
8710000US3728152,"ZCTA5 28152, North Carolina",24235,789,815,8710000US37,28152
8710000US3728754,"ZCTA5 28754, North Carolina",6828,170,157,8710000US37,28754
8710000US3727896,"ZCTA5 27896, North Carolina",20003,657,600,8710000US37,27896
8710000US3728553,"ZCTA5 28553, North Carolina",454,12,10,8710000US37,28553
8710000US3728016,"ZCTA5 28016, North Carolina",13454,395,441,8710000US37,28016
8710000US3728036,"ZCTA5 28036, North Carolina",12860,403,368,8710000US37,28036
8710000US3727302,"ZCTA5 27302, North Carolina",26261,857,871,8710000US37,27302
8710000US3727915,"ZCTA5 27915, North Carolina",777,15,17,8710000US37,27915
8710000US3728080,"ZCTA5 28080, North Carolina",7298,207,190,8710000US37,28080
8710000US3728694,"ZCTA5 28694, North Carolina",7722,210,210,8710000US37,28694
8710000US3728405,"ZCTA5 28405, North Carolina",28895,871,806,8710000US37,28405
8710000US3727893,"ZCTA5 27893, North Carolina",38287,1495,1414,8710000US37,27893
8710000US3728552,"ZCTA5 28552, North Carolina",253,11,18,8710000US37,28552
8710000US3728587,"ZCTA5 28587, North Carolina",369,12,10,8710000US37,28587
8710000US3727569,"ZCTA5 27569, North Carolina",8007,308,275,8710000US37,27569
8710000US3727712,"ZCTA5 27712, North Carolina",19908,543,529,8710000US37,27712
8710000US3728391,"ZCTA5 28391, North Carolina",5302,150,136,8710000US37,28391
8710000US3727106,"ZCTA5 27106, North Carolina",44050,1423,1418,8710000US37,27106
8710000US3728081,"ZCTA5 28081, North Carolina",25090,989,965,8710000US37,28081
8710000US3727572,"ZCTA5 27572, North Carolina",6542,177,153,8710000US37,27572
8710000US3728616,"ZCTA5 28616, North Carolina",419,7,7,8710000US37,28616
8710000US3728390,"ZCTA5 28390, North Carolina",19434,921,945,8710000US37,28390
8710000US3727263,"ZCTA5 27263, North Carolina",21322,712,666,8710000US37,27263
8710000US3727950,"ZCTA5 27950, North Carolina",2006,41,49,8710000US37,27950
8710000US3728159,"ZCTA5 28159, North Carolina",3002,96,106,8710000US37,28159
8710000US3728792,"ZCTA5 28792, North Carolina",32164,1126,1000,8710000US37,28792
8710000US3727979,"ZCTA5 27979, North Carolina",1719,42,35,8710000US37,27979
8710000US3728589,"ZCTA5 28589, North Carolina",180,5,4,8710000US37,28589
8710000US3728683,"ZCTA5 28683, North Carolina",1697,32,47,8710000US37,28683
8710000US3727262,"ZCTA5 27262, North Carolina",21825,721,676,8710000US37,27262
8710000US3727530,"ZCTA5 27530, North Carolina",38425,1379,1319,8710000US37,27530
8710000US3728347,"ZCTA5 28347, North Carolina",1246,39,54,8710000US37,28347
8710000US3727819,"ZCTA5 27819, North Carolina",330,18,8,8710000US37,27819
8710000US3727207,"ZCTA5 27207, North Carolina",3770,94,112,8710000US37,27207
8710000US3728605,"ZCTA5 28605, North Carolina",3347,60,41,8710000US37,28605
8710000US3728678,"ZCTA5 28678, North Carolina",5226,182,145,8710000US37,28678
8710000US3727850,"ZCTA5 27850, North Carolina",7244,137,130,8710000US37,27850
8710000US3728745,"ZCTA5 28745, North Carolina",551,3,6,8710000US37,28745
8710000US3727315,"ZCTA5 27315, North Carolina",2243,67,46,8710000US37,27315
8710000US3727956,"ZCTA5 27956, North Carolina",302,10,15,8710000US37,27956
8710000US3728454,"ZCTA5 28454, North Carolina",2545,101,76,8710000US37,28454
8710000US3728079,"ZCTA5 28079, North Carolina",31868,1238,1178,8710000US37,28079
8710000US3728421,"ZCTA5 28421, North Carolina",1521,36,36,8710000US37,28421
8710000US3728516,"ZCTA5 28516, North Carolina",11261,264,250,8710000US37,28516
8710000US3727866,"ZCTA5 27866, North Carolina",855,23,24,8710000US37,27866
8710000US3728166,"ZCTA5 28166, North Carolina",8579,308,248,8710000US37,28166
8710000US3727501,"ZCTA5 27501, North Carolina",17491,685,697,8710000US37,27501
8710000US3728210,"ZCTA5 28210, North Carolina",41538,1544,1431,8710000US37,28210
8710000US3727048,"ZCTA5 27048, North Carolina",8559,212,216,8710000US37,27048
8710000US3728659,"ZCTA5 28659, North Carolina",20651,675,618,8710000US37,28659
8710000US3728712,"ZCTA5 28712, North Carolina",18287,434,451,8710000US37,28712
8710000US3728581,"ZCTA5 28581, North Carolina",214,8,2,8710000US37,28581
8710000US3728676,"ZCTA5 28676, North Carolina",3482,90,97,8710000US37,28676
8710000US3727012,"ZCTA5 27012, North Carolina",25246,759,694,8710000US37,27012
8710000US3727885,"ZCTA5 27885, North Carolina",929,22,19,8710000US37,27885
8710000US3727949,"ZCTA5 27949, North Carolina",6947,125,122,8710000US37,27949
8710000US3728618,"ZCTA5 28618, North Carolina",2337,82,69,8710000US37,28618
8710000US3728458,"ZCTA5 28458, North Carolina",6391,225,216,8710000US37,28458
8710000US3728363,"ZCTA5 28363, North Carolina",1202,26,33,8710000US37,28363
8710000US3728379,"ZCTA5 28379, North Carolina",26100,902,800,8710000US37,28379
8710000US3728109,"ZCTA5 28109, North Carolina",164,3,4,8710000US37,28109
8710000US3727253,"ZCTA5 27253, North Carolina",29597,1046,1005,8710000US37,27253
8710000US3728715,"ZCTA5 28715, North Carolina",24383,805,753,8710000US37,28715
8710000US3727944,"ZCTA5 27944, North Carolina",11825,318,331,8710000US37,27944
8710000US3727983,"ZCTA5 27983, North Carolina",9126,275,262,8710000US37,27983
8710000US3728052,"ZCTA5 28052, North Carolina",33877,1333,1252,8710000US37,28052
8710000US3727105,"ZCTA5 27105, North Carolina",38703,1664,1549,8710000US37,27105
8710000US3728023,"ZCTA5 28023, North Carolina",14065,454,394,8710000US37,28023
8710000US3728137,"ZCTA5 28137, North Carolina",2847,76,84,8710000US37,28137
8710000US3728387,"ZCTA5 28387, North Carolina",13717,366,405,8710000US37,28387
8710000US3727208,"ZCTA5 27208, North Carolina",1676,39,42,8710000US37,27208
8710000US3728649,"ZCTA5 28649, North Carolina",993,32,28,8710000US37,28649
8710000US3727518,"ZCTA5 27518, North Carolina",19503,491,511,8710000US37,27518
8710000US3727709,"ZCTA5 27709, North Carolina",1047,70,74,8710000US37,27709
8710000US3728763,"ZCTA5 28763, North Carolina",2718,91,79,8710000US37,28763
8710000US3727509,"ZCTA5 27509, North Carolina",3760,124,115,8710000US37,27509
8710000US3728531,"ZCTA5 28531, North Carolina",1202,23,13,8710000US37,28531
8710000US3727371,"ZCTA5 27371, North Carolina",7267,211,216,8710000US37,27371
8710000US3728651,"ZCTA5 28651, North Carolina",7132,212,207,8710000US37,28651
8710000US3728365,"ZCTA5 28365, North Carolina",16624,615,609,8710000US37,28365
8710000US3728270,"ZCTA5 28270, North Carolina",31507,1098,1071,8710000US37,28270
8710000US3728311,"ZCTA5 28311, North Carolina",33641,1369,1368,8710000US37,28311
8710000US3728665,"ZCTA5 28665, North Carolina",2571,55,63,8710000US37,28665
8710000US3728444,"ZCTA5 28444, North Carolina",2085,52,55,8710000US37,28444
8710000US3727103,"ZCTA5 27103, North Carolina",32948,1352,1243,8710000US37,27103
8710000US3727025,"ZCTA5 27025, North Carolina",10977,296,279,8710000US37,27025
8710000US3727320,"ZCTA5 27320, North Carolina",38801,1136,1093,8710000US37,27320
8710000US3727613,"ZCTA5 27613, North Carolina",42687,1447,1369,8710000US37,27613
8710000US3728366,"ZCTA5 28366, North Carolina",5023,187,171,8710000US37,28366
8710000US3728508,"ZCTA5 28508, North Carolina",2737,141,150,8710000US37,28508
8710000US3728906,"ZCTA5 28906, North Carolina",18152,455,403,8710000US37,28906
8710000US3727919,"ZCTA5 27919, North Carolina",1130,38,28,8710000US37,27919
8710000US3728128,"ZCTA5 28128, North Carolina",7465,197,169,8710000US37,28128
8710000US3728610,"ZCTA5 28610, North Carolina",9913,302,292,8710000US37,28610
8710000US3728382,"ZCTA5 28382, North Carolina",7015,232,262,8710000US37,28382
8710000US3727822,"ZCTA5 27822, North Carolina",8143,232,209,8710000US37,27822
8710000US3728371,"ZCTA5 28371, North Carolina",6519,243,277,8710000US37,28371
8710000US3727513,"ZCTA5 27513, North Carolina",40748,1345,1286,8710000US37,27513
8710000US3727814,"ZCTA5 27814, North Carolina",1676,27,28,8710000US37,27814
8710000US3728211,"ZCTA5 28211, North Carolina",28173,1060,1055,8710000US37,28211
8710000US3728031,"ZCTA5 28031, North Carolina",24384,809,780,8710000US37,28031
8710000US3728456,"ZCTA5 28456, North Carolina",3658,96,105,8710000US37,28456
8710000US3727617,"ZCTA5 27617, North Carolina",15150,556,530,8710000US37,27617
8710000US3727970,"ZCTA5 27970, North Carolina",3409,98,89,8710000US37,27970
8710000US3728622,"ZCTA5 28622, North Carolina",2479,64,54,8710000US37,28622
8710000US3727614,"ZCTA5 27614, North Carolina",31484,1082,1089,8710000US37,27614
8710000US3728658,"ZCTA5 28658, North Carolina",26338,865,837,8710000US37,28658
8710000US3728018,"ZCTA5 28018, North Carolina",5499,143,140,8710000US37,28018
8710000US3728071,"ZCTA5 28071, North Carolina",2763,52,71,8710000US37,28071
8710000US3728168,"ZCTA5 28168, North Carolina",10227,293,289,8710000US37,28168
8710000US3727856,"ZCTA5 27856, North Carolina",15981,518,463,8710000US37,27856
8710000US3728515,"ZCTA5 28515, North Carolina",2296,62,55,8710000US37,28515
8710000US3728328,"ZCTA5 28328, North Carolina",26092,911,935,8710000US37,28328
8710000US3728677,"ZCTA5 28677, North Carolina",32359,1160,1121,8710000US37,28677
